Nom,Testé le :,link,desc,ordre
Calcule ton année personnelle,2022-01-07,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,,1
"Si ma semaine avait une personnalité, elle serait…",2022-05-19,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,"Réfléchir en vous basant sur le fichier joint à l'animal qui représente le mieux votre semaine, selon l'adjectif avec lequel vous pourriez le mieux la qualifier.",2
Dans quel domaine te trouves-tu absolument génial.e ?,2022-06-02,,,3
Cite une personne qui t'inspire en ce moment et pourquoi.,2022-06-09,,,4
Dans la peau de quelle créature mythique te retrouves-tu cette semaine ?,2022-06-23,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,,5
La créature mythique version job,2022-06-23,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,"1. Tout d'abord, vous devez sélectionner la créature mythique de votre choix, qui représente le mieux selon vous votre rôle au sein de Moha
2. puis, vous choisirez la particularité de cette créature qui selon vous représente le mieux ce que vous adorez dans votre quotidien au travail
3. et pour finir, la particularité qui représente ce que vous détestez le plus dans votre quotidien au travail.",6
Le niveau de batterie,2022-06-30,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,,7
Quel a été ton pire ennemi cette semaine ?,2022-07-07,,,8
Quel œuvre d’art reflète ta semaine,2022-07-21,https://www.artblr.com/blogue/22-uvres-dart-les-plus-celebres-du-monde,,9
Quelle est ta chanson de la semaine ?,2022-07-28,,,10
Quel monument te transporte à travers son histoire ou sa représentation,,,,11
La machine à remonter le temps,,,"Réfléchir à un souvenir que vous aimeriez revivre si vous aviez une machine à remonter le temps  Ce peut-être un souvenir positif que vous aimeriez partager avec l'équipe ou une situation que vous auriez aimé vivre autrement, avec du recul. L'objectif étant cette semaine, d'apprendre quelque chose de nouveau les uns des autres.",12
Cultiver un sentiment de gratitude,,,"Réfléchir à 2 choses positives qui vous sont arrivées depuis notre dernier week-mood. Tout ce que vous voudrez, pourvu que cela soit quelque chose de positif pour vous",13
Dessine moi ton week-mood,,,Dessiner à main levée ou sous format informatique son week-mood de la semaine.,14
2 vérités VS 1 mensonge,,,Chaque personne du groupe parle de sa semaine en énonçant deux vérités et un mensonge. Le reste des participants doit deviner quel énoncé est le mensonge.,15
Quelle est ta chanson de l’année ?,,,,16
Quelle est ta chanson de l’été ?,,,,17
La couleur de la gourmandise,,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,"Le paquet de bonbon de couleurs différentes (ex: m&m’s) circulera entre les participants. Tour à tour, chacun pioche un bonbon coloré et doit répondre à l’information définie précédemment.",18
Quelle est l’affiche de film de ta semaine ?,,,,19
Dans la peau de quel animal te sens-tu cette semaine ?,,,,20
L’arbre à émotion,,https://drive.google.com/drive/folders/1AA6PEWjBf1I48e7hzRaifAjN9bUq3UKP,,21
Écriture d’un petit texte sur un sujet personnel quelconque ,,,"Proposer à chacun de lire un texte court d’une minute ou moins sur le sujet de son choix : complètement libre
Par exemple :
• Une anecdote
• Une histoire drôle ou non de notre vie
• Un résumé de notre histoire
• Une passion
• ….",22
Qu’est-ce que la semaine qui vient de passer t’a appris personnellement et professionnellement ?,,,,23
A quoi ressemblerait ta journée idéale ?,,,,24
Penses-tu que tu as de la chance dans la vie ? Pourquoi ?,,,,25
Comment fais-tu pour prendre soin de ta santé ?,,,,26
Quelle habitude voudrais-tu mettre en place tous les matins en te levant pour passer une super journée ?,,,,27
"Si tu devais écrire un livre, ce serait quel type d'ouvrage ?",,,,28
Quand as-tu pris un risque pour la dernière fois ? Raconte-moi cette expérience.,,,,29
Qu’aimerais-tu faire au cours de la prochaine année que tu n’as jamais fait auparavant ?,,,,30
Si par magie tu gagnais l’équivalent de ton salaire actuel sans travailler que ferais-tu ?,,,,31
"Si tu pouvais échanger ta place avec n’importe qui d’autre dans le monde pour une journée, avec qui serait-ce et pourquoi ?",,,,32
Quel est le compliment que tu souhaiterais que l’on te fasse ?,,,,33
Quel est ton gros mot réflexe ?,,,,34
A qui penses-tu dans les moments difficiles ? Pourquoi ?,,,,35
Qu’est-ce que l’année passée t’a appris ?,,,,36
Qui pourrais-tu remercier de t’avoir aidé récemment ?,,,,37
